table_name,table_id
 accident_2015,bigquery-public-data.nhtsa_traffic_fatalities.  accident_2015
 accident_2016,bigquery-public-data.nhtsa_traffic_fatalities.  accident_2016
 accident_2017,bigquery-public-data.nhtsa_traffic_fatalities.  accident_2017
 accident_2018,bigquery-public-data.nhtsa_traffic_fatalities.  accident_2018
 accident_2019,bigquery-public-data.nhtsa_traffic_fatalities.  accident_2019
 accident_2020,bigquery-public-data.nhtsa_traffic_fatalities.  accident_2020
 cevent_2015,bigquery-public-data.nhtsa_traffic_fatalities.  cevent_2015
 cevent_2016,bigquery-public-data.nhtsa_traffic_fatalities.  cevent_2016
 cevent_2017,bigquery-public-data.nhtsa_traffic_fatalities.  cevent_2017
 cevent_2018,bigquery-public-data.nhtsa_traffic_fatalities.  cevent_2018
 cevent_2019,bigquery-public-data.nhtsa_traffic_fatalities.  cevent_2019
 cevent_2020,bigquery-public-data.nhtsa_traffic_fatalities.  cevent_2020
 damage_2015,bigquery-public-data.nhtsa_traffic_fatalities.  damage_2015
 damage_2016,bigquery-public-data.nhtsa_traffic_fatalities.  damage_2016
 damage_2017,bigquery-public-data.nhtsa_traffic_fatalities.  damage_2017
 damage_2018,bigquery-public-data.nhtsa_traffic_fatalities.  damage_2018
 damage_2019,bigquery-public-data.nhtsa_traffic_fatalities.  damage_2019
 damage_2020,bigquery-public-data.nhtsa_traffic_fatalities.  damage_2020
 distract_2015,bigquery-public-data.nhtsa_traffic_fatalities.  distract_2015
 distract_2016,bigquery-public-data.nhtsa_traffic_fatalities.  distract_2016
 distract_2017,bigquery-public-data.nhtsa_traffic_fatalities.  distract_2017
 distract_2018,bigquery-public-data.nhtsa_traffic_fatalities.  distract_2018
 distract_2019,bigquery-public-data.nhtsa_traffic_fatalities.  distract_2019
 distract_2020,bigquery-public-data.nhtsa_traffic_fatalities.  distract_2020
 drimpair_2015,bigquery-public-data.nhtsa_traffic_fatalities.  drimpair_2015
 drimpair_2016,bigquery-public-data.nhtsa_traffic_fatalities.  drimpair_2016
 drimpair_2017,bigquery-public-data.nhtsa_traffic_fatalities.  drimpair_2017
 drimpair_2018,bigquery-public-data.nhtsa_traffic_fatalities.  drimpair_2018
 drimpair_2019,bigquery-public-data.nhtsa_traffic_fatalities.  drimpair_2019
 drimpair_2020,bigquery-public-data.nhtsa_traffic_fatalities.  drimpair_2020
 factor_2015,bigquery-public-data.nhtsa_traffic_fatalities.  factor_2015
 factor_2016,bigquery-public-data.nhtsa_traffic_fatalities.  factor_2016
 factor_2017,bigquery-public-data.nhtsa_traffic_fatalities.  factor_2017
 factor_2018,bigquery-public-data.nhtsa_traffic_fatalities.  factor_2018
 factor_2019,bigquery-public-data.nhtsa_traffic_fatalities.  factor_2019
 factor_2020,bigquery-public-data.nhtsa_traffic_fatalities.  factor_2020
 maneuver_2015,bigquery-public-data.nhtsa_traffic_fatalities.  maneuver_2015
 maneuver_2016,bigquery-public-data.nhtsa_traffic_fatalities.  maneuver_2016
 maneuver_2017,bigquery-public-data.nhtsa_traffic_fatalities.  maneuver_2017
 maneuver_2018,bigquery-public-data.nhtsa_traffic_fatalities.  maneuver_2018
 maneuver_2019,bigquery-public-data.nhtsa_traffic_fatalities.  maneuver_2019
 maneuver_2020,bigquery-public-data.nhtsa_traffic_fatalities.  maneuver_2020
 nmcrash_2015,bigquery-public-data.nhtsa_traffic_fatalities.  nmcrash_2015
 nmcrash_2016,bigquery-public-data.nhtsa_traffic_fatalities.  nmcrash_2016
 nmcrash_2017,bigquery-public-data.nhtsa_traffic_fatalities.  nmcrash_2017
 nmcrash_2018,bigquery-public-data.nhtsa_traffic_fatalities.  nmcrash_2018
 nmcrash_2019,bigquery-public-data.nhtsa_traffic_fatalities.  nmcrash_2019
 nmcrash_2020,bigquery-public-data.nhtsa_traffic_fatalities.  nmcrash_2020
 nmimpair_2015,bigquery-public-data.nhtsa_traffic_fatalities.  nmimpair_2015
 nmimpair_2016,bigquery-public-data.nhtsa_traffic_fatalities.  nmimpair_2016
 nmimpair_2017,bigquery-public-data.nhtsa_traffic_fatalities.  nmimpair_2017
 nmimpair_2018,bigquery-public-data.nhtsa_traffic_fatalities.  nmimpair_2018
 nmimpair_2019,bigquery-public-data.nhtsa_traffic_fatalities.  nmimpair_2019
 nmimpair_2020,bigquery-public-data.nhtsa_traffic_fatalities.  nmimpair_2020
 nmprior_2015,bigquery-public-data.nhtsa_traffic_fatalities.  nmprior_2015
 nmprior_2016,bigquery-public-data.nhtsa_traffic_fatalities.  nmprior_2016
 nmprior_2017,bigquery-public-data.nhtsa_traffic_fatalities.  nmprior_2017
 nmprior_2018,bigquery-public-data.nhtsa_traffic_fatalities.  nmprior_2018
 nmprior_2019,bigquery-public-data.nhtsa_traffic_fatalities.  nmprior_2019
 nmprior_2020,bigquery-public-data.nhtsa_traffic_fatalities.  nmprior_2020
 parkwork_2015,bigquery-public-data.nhtsa_traffic_fatalities.  parkwork_2015
 parkwork_2016,bigquery-public-data.nhtsa_traffic_fatalities.  parkwork_2016
 parkwork_2017,bigquery-public-data.nhtsa_traffic_fatalities.  parkwork_2017
 parkwork_2018,bigquery-public-data.nhtsa_traffic_fatalities.  parkwork_2018
 parkwork_2019,bigquery-public-data.nhtsa_traffic_fatalities.  parkwork_2019
 parkwork_2020,bigquery-public-data.nhtsa_traffic_fatalities.  parkwork_2020
 pbtype_2015,bigquery-public-data.nhtsa_traffic_fatalities.  pbtype_2015
 pbtype_2016,bigquery-public-data.nhtsa_traffic_fatalities.  pbtype_2016
 pbtype_2017,bigquery-public-data.nhtsa_traffic_fatalities.  pbtype_2017
 pbtype_2018,bigquery-public-data.nhtsa_traffic_fatalities.  pbtype_2018
 pbtype_2019,bigquery-public-data.nhtsa_traffic_fatalities.  pbtype_2019
 pbtype_2020,bigquery-public-data.nhtsa_traffic_fatalities.  pbtype_2020
 safetyeq_2015,bigquery-public-data.nhtsa_traffic_fatalities.  safetyeq_2015
 safetyeq_2016,bigquery-public-data.nhtsa_traffic_fatalities.  safetyeq_2016
 safetyeq_2017,bigquery-public-data.nhtsa_traffic_fatalities.  safetyeq_2017
 safetyeq_2018,bigquery-public-data.nhtsa_traffic_fatalities.  safetyeq_2018
 safetyeq_2019,bigquery-public-data.nhtsa_traffic_fatalities.  safetyeq_2019
 safetyeq_2020,bigquery-public-data.nhtsa_traffic_fatalities.  safetyeq_2020
 vevent_2015,bigquery-public-data.nhtsa_traffic_fatalities.  vevent_2015
 vevent_2016,bigquery-public-data.nhtsa_traffic_fatalities.  vevent_2016
 vevent_2017,bigquery-public-data.nhtsa_traffic_fatalities.  vevent_2017
 vevent_2018,bigquery-public-data.nhtsa_traffic_fatalities.  vevent_2018
 vevent_2019,bigquery-public-data.nhtsa_traffic_fatalities.  vevent_2019
 vevent_2020,bigquery-public-data.nhtsa_traffic_fatalities.  vevent_2020
 vindecode_2015,bigquery-public-data.nhtsa_traffic_fatalities.  vindecode_2015
 violatn_2015,bigquery-public-data.nhtsa_traffic_fatalities.  violatn_2015
 violatn_2016,bigquery-public-data.nhtsa_traffic_fatalities.  violatn_2016
 violatn_2017,bigquery-public-data.nhtsa_traffic_fatalities.  violatn_2017
 violatn_2018,bigquery-public-data.nhtsa_traffic_fatalities.  violatn_2018
 violatn_2019,bigquery-public-data.nhtsa_traffic_fatalities.  violatn_2019
 violatn_2020,bigquery-public-data.nhtsa_traffic_fatalities.  violatn_2020
 vision_2015,bigquery-public-data.nhtsa_traffic_fatalities.  vision_2015
 vision_2016,bigquery-public-data.nhtsa_traffic_fatalities.  vision_2016
 vision_2017,bigquery-public-data.nhtsa_traffic_fatalities.  vision_2017
 vision_2018,bigquery-public-data.nhtsa_traffic_fatalities.  vision_2018
 vision_2019,bigquery-public-data.nhtsa_traffic_fatalities.  vision_2019
 vision_2020,bigquery-public-data.nhtsa_traffic_fatalities.  vision_2020
 vsoe_2015,bigquery-public-data.nhtsa_traffic_fatalities.  vsoe_2015
 vsoe_2016,bigquery-public-data.nhtsa_traffic_fatalities.  vsoe_2016
 vsoe_2017,bigquery-public-data.nhtsa_traffic_fatalities.  vsoe_2017
 vsoe_2018,bigquery-public-data.nhtsa_traffic_fatalities.  vsoe_2018
 vsoe_2019,bigquery-public-data.nhtsa_traffic_fatalities.  vsoe_2019
 vsoe_2020,bigquery-public-data.nhtsa_traffic_fatalities.  vsoe_2020
